Connecting to host 10.223.62.39, port 5201
[  4] local 10.223.61.37 port 52934 connected to 10.223.62.39 port 5201
[  4] 18012.00-18013.00 sec  2.14 MBytes  17.9 Mbits/sec   12   93.3 KBytes       
[  4] 18013.00-18014.00 sec  2.32 MBytes  19.4 Mbits/sec   10   62.2 KBytes       
[  4] 18014.00-18015.00 sec  2.14 MBytes  17.9 Mbits/sec    0   84.8 KBytes       
[  4] 18015.00-18016.00 sec  2.14 MBytes  17.9 Mbits/sec    0    102 KBytes       
[  4] 18016.00-18017.00 sec  2.32 MBytes  19.4 Mbits/sec    6   82.0 KBytes       
[  4] 18017.00-18018.00 sec  1.25 MBytes  10.5 Mbits/sec    1    109 KBytes       
[  4] 18018.00-18019.00 sec  1.25 MBytes  10.5 Mbits/sec   86   48.1 KBytes       
[  4] 18019.00-18020.00 sec  1.60 MBytes  13.5 Mbits/sec    0   84.8 KBytes       
[  4] 18020.00-18021.00 sec  1.66 MBytes  13.9 Mbits/sec    1    103 KBytes       
[  4] 18021.00-18022.00 sec  1.78 MBytes  14.9 Mbits/sec    2   83.4 KBytes       
[  4] 18022.00-18023.00 sec  1.66 MBytes  13.9 Mbits/sec    0    100 KBytes       
[  4] 18023.00-18024.00 sec  1.60 MBytes  13.4 Mbits/sec    5   60.8 KBytes       
[  4] 18024.00-18025.00 sec  1.37 MBytes  11.5 Mbits/sec    1   73.5 KBytes       
[  4] 18025.00-18026.00 sec  2.14 MBytes  17.9 Mbits/sec   24   59.4 KBytes       
[  4] 18026.00-18027.00 sec  2.08 MBytes  17.4 Mbits/sec    1   79.2 KBytes       
[  4] 18027.00-18028.00 sec  2.38 MBytes  19.9 Mbits/sec    0    100 KBytes       
[  4] 18028.00-18029.00 sec  2.20 MBytes  18.4 Mbits/sec    0    116 KBytes       
[  4] 18029.00-18030.00 sec  2.32 MBytes  19.4 Mbits/sec    2   76.4 KBytes       
[  4] 18030.00-18031.00 sec  2.32 MBytes  19.4 Mbits/sec    1   74.9 KBytes       
[  4] 18031.00-18032.00 sec  1.54 MBytes  13.0 Mbits/sec    7   86.3 KBytes       
[  4] 18032.00-18033.00 sec  2.43 MBytes  20.4 Mbits/sec    6    122 KBytes       
[  4] 18033.00-18034.00 sec  2.26 MBytes  18.9 Mbits/sec   10   90.5 KBytes       
[  4] 18034.00-18035.00 sec  1.96 MBytes  16.4 Mbits/sec    3   56.6 KBytes       
[  4] 18035.00-18036.00 sec  2.20 MBytes  18.4 Mbits/sec    5   56.6 KBytes       
[  4] 18036.00-18037.00 sec  2.20 MBytes  18.4 Mbits/sec    1   79.2 KBytes       
[  4] 18037.00-18038.00 sec  2.08 MBytes  17.4 Mbits/sec    6   73.5 KBytes       
[  4] 18038.00-18039.00 sec  1.66 MBytes  13.9 Mbits/sec    0   89.1 KBytes       
[  4] 18039.00-18040.00 sec  1.78 MBytes  14.9 Mbits/sec    4   52.3 KBytes       
[  4] 18040.00-18041.00 sec  1.96 MBytes  16.4 Mbits/sec    1   73.5 KBytes       
[  4] 18041.00-18042.00 sec  2.08 MBytes  17.4 Mbits/sec    3   70.7 KBytes       
[  4] 18042.00-18043.00 sec  2.26 MBytes  18.9 Mbits/sec    1   89.1 KBytes       
[  4] 18043.00-18044.00 sec  2.55 MBytes  21.4 Mbits/sec    1    106 KBytes       
[  4] 18044.00-18045.00 sec  1.72 MBytes  14.4 Mbits/sec    1    109 KBytes       
[  4] 18045.00-18046.00 sec  1.96 MBytes  16.4 Mbits/sec    2   82.0 KBytes       
[  4] 18046.00-18047.00 sec  2.49 MBytes  20.9 Mbits/sec    0    117 KBytes       
[  4] 18047.00-18048.00 sec  2.49 MBytes  20.9 Mbits/sec   10   72.1 KBytes       
[  4] 18048.00-18049.00 sec   973 KBytes  7.97 Mbits/sec   31   58.0 KBytes       
[  4] 18049.00-18050.00 sec  1.66 MBytes  13.9 Mbits/sec    0   76.4 KBytes       
[  4] 18050.00-18051.00 sec  1.78 MBytes  14.9 Mbits/sec    2   69.3 KBytes       
[  4] 18051.00-18052.00 sec  1.66 MBytes  13.9 Mbits/sec    7   55.1 KBytes       
[  4] 18052.00-18053.00 sec  1.60 MBytes  13.5 Mbits/sec    1   76.4 KBytes       
[  4] 18053.00-18054.00 sec  1.48 MBytes  12.5 Mbits/sec    1   62.2 KBytes       
[  4] 18054.00-18055.00 sec  1.84 MBytes  15.4 Mbits/sec    0   79.2 KBytes       
[  4] 18055.00-18056.00 sec  1.72 MBytes  14.4 Mbits/sec    0   93.3 KBytes       
[  4] 18056.00-18057.00 sec  1.66 MBytes  13.9 Mbits/sec    0    107 KBytes       
[  4] 18057.00-18058.00 sec  1.60 MBytes  13.5 Mbits/sec    1    117 KBytes       
[  4] 18058.00-18059.00 sec  1.78 MBytes  14.9 Mbits/sec    2   69.3 KBytes       
[  4] 18059.00-18060.00 sec  2.08 MBytes  17.4 Mbits/sec    2   72.1 KBytes       
[  4] 18060.00-18061.00 sec  2.67 MBytes  22.4 Mbits/sec    0   96.2 KBytes       
[  4] 18061.00-18062.00 sec  2.38 MBytes  19.9 Mbits/sec    1    112 KBytes       
[  4] 18062.00-18063.00 sec  2.08 MBytes  17.4 Mbits/sec    0    124 KBytes       
[  4] 18063.00-18064.00 sec  2.26 MBytes  18.9 Mbits/sec    4    102 KBytes       
[  4] 18064.00-18065.00 sec  2.14 MBytes  17.9 Mbits/sec    1   86.3 KBytes       
[  4] 18065.00-18066.00 sec   730 KBytes  5.98 Mbits/sec   34   66.5 KBytes       
[  4] 18066.00-18067.00 sec  1.54 MBytes  12.9 Mbits/sec    1   82.0 KBytes       
[  4] 18067.00-18068.00 sec  1.60 MBytes  13.4 Mbits/sec    0   94.7 KBytes       
[  4] 18068.00-18069.00 sec   426 KBytes  3.48 Mbits/sec    1   1.41 KBytes       
[  4] 18069.00-18070.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 18070.00-18071.00 sec   790 KBytes  6.48 Mbits/sec    1    137 KBytes       
[  4] 18071.00-18072.00 sec  2.08 MBytes  17.4 Mbits/sec    1    151 KBytes       
[  4] 18072.00-18073.00 sec  2.43 MBytes  20.4 Mbits/sec    4    115 KBytes       
[  4] 18073.00-18074.00 sec  2.32 MBytes  19.4 Mbits/sec    6   90.5 KBytes       
[  4] 18074.00-18075.00 sec  2.20 MBytes  18.4 Mbits/sec    6   82.0 KBytes       
[  4] 18075.00-18076.00 sec  2.26 MBytes  18.9 Mbits/sec    0    100 KBytes       
[  4] 18076.00-18077.00 sec  2.55 MBytes  21.4 Mbits/sec    2    116 KBytes       
[  4] 18077.00-18078.00 sec  1.90 MBytes  15.9 Mbits/sec   52   60.8 KBytes       
[  4] 18078.00-18079.00 sec  1.96 MBytes  16.4 Mbits/sec    0   69.3 KBytes       
[  4] 18079.00-18080.00 sec  2.26 MBytes  18.9 Mbits/sec    5   63.6 KBytes       
[  4] 18080.00-18081.00 sec  2.38 MBytes  19.9 Mbits/sec    0   87.7 KBytes       
[  4] 18081.00-18082.00 sec  2.02 MBytes  16.9 Mbits/sec    0   77.8 KBytes       
[  4] 18082.00-18083.00 sec  2.14 MBytes  17.9 Mbits/sec    0   97.6 KBytes       
[  4] 18083.00-18084.00 sec  2.14 MBytes  17.9 Mbits/sec    3   86.3 KBytes       
[  4] 18084.00-18085.00 sec  2.20 MBytes  18.4 Mbits/sec    8   73.5 KBytes       
[  4] 18085.00-18086.00 sec  2.14 MBytes  17.9 Mbits/sec    9   63.6 KBytes       
[  4] 18086.00-18087.00 sec  2.20 MBytes  18.4 Mbits/sec    2   62.2 KBytes       
[  4] 18087.00-18088.00 sec  2.08 MBytes  17.4 Mbits/sec    0   84.8 KBytes       
[  4] 18088.00-18089.00 sec  2.43 MBytes  20.4 Mbits/sec    1   91.9 KBytes       
[  4] 18089.00-18090.00 sec  2.49 MBytes  20.9 Mbits/sec    4   77.8 KBytes       
[  4] 18090.00-18091.00 sec  2.26 MBytes  18.9 Mbits/sec    0   97.6 KBytes       
[  4] 18091.00-18092.00 sec  2.38 MBytes  19.9 Mbits/sec    1    103 KBytes       
[  4] 18092.00-18093.00 sec  2.32 MBytes  19.4 Mbits/sec    4   90.5 KBytes       
[  4] 18093.00-18094.00 sec  2.14 MBytes  17.9 Mbits/sec    0    107 KBytes       
[  4] 18094.00-18095.00 sec  2.20 MBytes  18.4 Mbits/sec   14   87.7 KBytes       
[  4] 18095.00-18096.00 sec  1.13 MBytes  9.46 Mbits/sec   52   67.9 KBytes       
[  4] 18096.00-18097.00 sec  1.78 MBytes  14.9 Mbits/sec    0   86.3 KBytes       
[  4] 18097.00-18098.00 sec  1.66 MBytes  14.0 Mbits/sec    1   99.0 KBytes       
[  4] 18098.00-18099.00 sec  1.31 MBytes  11.0 Mbits/sec    5   80.6 KBytes       
[  4] 18099.00-18100.00 sec  1.13 MBytes  9.47 Mbits/sec    2   66.5 KBytes       
[  4] 18100.00-18101.00 sec  1.13 MBytes  9.47 Mbits/sec    0   76.4 KBytes       
[  4] 18101.00-18102.00 sec  1.43 MBytes  12.0 Mbits/sec    0   89.1 KBytes       
[  4] 18102.00-18103.00 sec  1.25 MBytes  10.5 Mbits/sec    2   73.5 KBytes       
[  4] 18103.00-18104.00 sec  1.25 MBytes  10.5 Mbits/sec    2   65.0 KBytes       
[  4] 18104.00-18105.00 sec   730 KBytes  5.98 Mbits/sec    1   1.41 KBytes       
[  4] 18105.00-18106.00 sec  1.78 MBytes  14.9 Mbits/sec    4   70.7 KBytes       
[  4] 18106.00-18107.00 sec  2.20 MBytes  18.4 Mbits/sec    1   74.9 KBytes       
[  4] 18107.00-18108.00 sec  2.32 MBytes  19.4 Mbits/sec    0   94.7 KBytes       
[  4] 18108.00-18109.00 sec  2.43 MBytes  20.4 Mbits/sec    0    113 KBytes       
[  4] 18109.00-18110.00 sec  2.20 MBytes  18.4 Mbits/sec    0    127 KBytes       
[  4] 18110.00-18111.00 sec  2.49 MBytes  20.9 Mbits/sec    1    140 KBytes       
[  4] 18111.00-18112.00 sec  2.02 MBytes  16.9 Mbits/sec    1    148 KBytes       
[  4] 18112.00-18113.00 sec  2.26 MBytes  18.9 Mbits/sec    1    157 KBytes       
[  4] 18113.00-18114.00 sec  2.38 MBytes  19.9 Mbits/sec    5   90.5 KBytes       
[  4] 18114.00-18115.00 sec  2.38 MBytes  19.9 Mbits/sec    1    109 KBytes       
[  4] 18115.00-18116.00 sec  2.08 MBytes  17.4 Mbits/sec    6   93.3 KBytes       
[  4] 18116.00-18117.00 sec  2.38 MBytes  19.9 Mbits/sec    4   84.8 KBytes       
[  4] 18117.00-18118.00 sec  2.20 MBytes  18.4 Mbits/sec    0    103 KBytes       
[  4] 18118.00-18119.00 sec  2.38 MBytes  19.9 Mbits/sec    1    107 KBytes       
[  4] 18119.00-18120.00 sec  2.14 MBytes  17.9 Mbits/sec   13   89.1 KBytes       
[  4] 18120.00-18121.00 sec  2.08 MBytes  17.4 Mbits/sec    5   73.5 KBytes       
[  4] 18121.00-18122.00 sec  2.38 MBytes  19.9 Mbits/sec    1   73.5 KBytes       
[  4] 18122.00-18123.00 sec   669 KBytes  5.48 Mbits/sec   40   31.1 KBytes       
[  4] 18123.00-18124.00 sec  1.37 MBytes  11.5 Mbits/sec    1   45.2 KBytes       
[  4] 18124.00-18125.00 sec  1.43 MBytes  12.0 Mbits/sec    0   65.0 KBytes       
[  4] 18125.00-18126.00 sec  1.66 MBytes  13.9 Mbits/sec    1   56.6 KBytes       
[  4] 18126.00-18127.00 sec  1.54 MBytes  13.0 Mbits/sec   12   66.5 KBytes       
[  4] 18127.00-18128.00 sec  2.14 MBytes  17.9 Mbits/sec    1   72.1 KBytes       
[  4] 18128.00-18129.00 sec  2.14 MBytes  17.9 Mbits/sec    0   84.8 KBytes       
[  4] 18129.00-18130.00 sec  1.66 MBytes  13.9 Mbits/sec    2   97.6 KBytes       
[  4] 18130.00-18131.00 sec  2.02 MBytes  16.9 Mbits/sec    3    106 KBytes       
[  4] 18131.00-18132.00 sec  2.49 MBytes  20.9 Mbits/sec    0    123 KBytes       
[  4] 18132.00-18133.00 sec  2.20 MBytes  18.4 Mbits/sec   12   77.8 KBytes       
[  4] 18133.00-18134.00 sec  2.14 MBytes  17.9 Mbits/sec    1   94.7 KBytes       
[  4] 18134.00-18135.00 sec  2.32 MBytes  19.4 Mbits/sec    1    110 KBytes       
[  4] 18135.00-18136.00 sec  2.20 MBytes  18.4 Mbits/sec    9   73.5 KBytes       
[  4] 18136.00-18137.00 sec  2.20 MBytes  18.4 Mbits/sec    1   65.0 KBytes       
[  4] 18137.00-18138.00 sec  2.20 MBytes  18.4 Mbits/sec    0   94.7 KBytes       
[  4] 18138.00-18139.00 sec  2.43 MBytes  20.4 Mbits/sec    1    110 KBytes       
[  4] 18139.00-18140.00 sec  2.20 MBytes  18.4 Mbits/sec    1    124 KBytes       
[  4] 18140.00-18141.00 sec  2.20 MBytes  18.4 Mbits/sec    8   96.2 KBytes       
[  4] 18141.00-18142.00 sec  1.84 MBytes  15.4 Mbits/sec   11   74.9 KBytes       
[  4] 18142.00-18143.00 sec  2.08 MBytes  17.4 Mbits/sec    6   65.0 KBytes       
[  4] 18143.00-18144.00 sec  1.84 MBytes  15.4 Mbits/sec   29   41.0 KBytes       
[  4] 18144.00-18145.00 sec  1.54 MBytes  13.0 Mbits/sec   36   36.8 KBytes       
[  4] 18145.00-18146.00 sec  1.90 MBytes  15.9 Mbits/sec   35   33.9 KBytes       
[  4] 18146.00-18147.00 sec  1.84 MBytes  15.4 Mbits/sec   16   45.2 KBytes       
[  4] 18147.00-18148.00 sec  2.26 MBytes  18.9 Mbits/sec    0   74.9 KBytes       
[  4] 18148.00-18149.00 sec  2.32 MBytes  19.4 Mbits/sec    2   50.9 KBytes       
[  4] 18149.00-18150.00 sec  2.14 MBytes  17.9 Mbits/sec    0   76.4 KBytes       
[  4] 18150.00-18151.00 sec  2.20 MBytes  18.4 Mbits/sec    0   96.2 KBytes       
[  4] 18151.00-18152.00 sec  2.14 MBytes  17.9 Mbits/sec    0    112 KBytes       
[  4] 18152.00-18153.00 sec  2.43 MBytes  20.4 Mbits/sec   13   96.2 KBytes       
[  4] 18153.00-18154.00 sec  1.78 MBytes  14.9 Mbits/sec    6   96.2 KBytes       
[  4] 18154.00-18155.00 sec  2.49 MBytes  20.9 Mbits/sec   13   46.7 KBytes       
[  4] 18155.00-18156.00 sec  2.26 MBytes  18.9 Mbits/sec    1   58.0 KBytes       
[  4] 18156.00-18157.00 sec  2.08 MBytes  17.4 Mbits/sec    1   79.2 KBytes       
[  4] 18157.00-18158.00 sec  2.32 MBytes  19.4 Mbits/sec    0   97.6 KBytes       
[  4] 18158.00-18159.00 sec  2.26 MBytes  18.9 Mbits/sec   14   43.8 KBytes       
[  4] 18159.00-18160.00 sec  1.84 MBytes  15.4 Mbits/sec    0   67.9 KBytes       
[  4] 18160.00-18161.00 sec   973 KBytes  7.97 Mbits/sec    2   60.8 KBytes       
[  4] 18161.00-18162.00 sec  2.32 MBytes  19.4 Mbits/sec    0   83.4 KBytes       
[  4] 18162.00-18163.00 sec  2.20 MBytes  18.4 Mbits/sec    7   76.4 KBytes       
[  4] 18163.00-18164.00 sec  1.96 MBytes  16.4 Mbits/sec    0   94.7 KBytes       
[  4] 18164.00-18165.00 sec  2.08 MBytes  17.4 Mbits/sec    1   82.0 KBytes       
[  4] 18165.00-18166.00 sec  2.08 MBytes  17.4 Mbits/sec    4   67.9 KBytes       
[  4] 18166.00-18167.00 sec  2.32 MBytes  19.4 Mbits/sec    1   87.7 KBytes       
[  4] 18167.00-18168.00 sec  2.38 MBytes  19.9 Mbits/sec    1    106 KBytes       
[  4] 18168.00-18169.00 sec  2.08 MBytes  17.4 Mbits/sec    6   79.2 KBytes       
[  4] 18169.00-18170.00 sec  2.14 MBytes  17.9 Mbits/sec   13   42.4 KBytes       
[  4] 18170.00-18171.00 sec  1.96 MBytes  16.4 Mbits/sec    0   67.9 KBytes       
[  4] 18171.00-18172.00 sec  2.26 MBytes  18.9 Mbits/sec    0   90.5 KBytes       
[  4] 18172.00-18173.00 sec  1.90 MBytes  15.9 Mbits/sec    1    105 KBytes       
[  4] 18173.00-18174.00 sec  2.08 MBytes  17.4 Mbits/sec   13   84.8 KBytes       
[  4] 18174.00-18175.00 sec  1.72 MBytes  14.4 Mbits/sec    1   87.7 KBytes       
[  4] 18175.00-18176.00 sec  1.84 MBytes  15.4 Mbits/sec    0    103 KBytes       
[  4] 18176.00-18177.00 sec  1.90 MBytes  15.9 Mbits/sec    2   84.8 KBytes       
[  4] 18177.00-18178.00 sec  2.20 MBytes  18.4 Mbits/sec    6   72.1 KBytes       
[  4] 18178.00-18179.00 sec  2.08 MBytes  17.4 Mbits/sec    1   73.5 KBytes       
[  4] 18179.00-18180.00 sec  2.14 MBytes  17.9 Mbits/sec    0   89.1 KBytes       
[  4] 18180.00-18181.00 sec  2.08 MBytes  17.4 Mbits/sec    4   58.0 KBytes       
[  4] 18181.00-18182.00 sec  1.60 MBytes  13.4 Mbits/sec    0   76.4 KBytes       
[  4] 18182.00-18183.00 sec  2.38 MBytes  19.9 Mbits/sec    1   86.3 KBytes       
[  4] 18183.00-18184.00 sec  1.90 MBytes  15.9 Mbits/sec    0   86.3 KBytes       
[  4] 18184.00-18185.00 sec   730 KBytes  5.98 Mbits/sec   60   66.5 KBytes       
[  4] 18185.00-18186.00 sec  1.78 MBytes  14.9 Mbits/sec    0   82.0 KBytes       
[  4] 18186.00-18187.00 sec  1.78 MBytes  14.9 Mbits/sec    0   97.6 KBytes       
[  4] 18187.00-18188.00 sec  1.66 MBytes  14.0 Mbits/sec    0    110 KBytes       
[  4] 18188.00-18189.00 sec  1.78 MBytes  14.9 Mbits/sec    1   94.7 KBytes       
[  4] 18189.00-18190.00 sec  1.78 MBytes  14.9 Mbits/sec    2    106 KBytes       
[  4] 18190.00-18191.00 sec  1.72 MBytes  14.4 Mbits/sec    1    106 KBytes       
[  4] 18191.00-18192.00 sec  1.84 MBytes  15.4 Mbits/sec    0    102 KBytes       
[  4] 18192.00-18193.00 sec  1.90 MBytes  15.9 Mbits/sec    1    113 KBytes       
[  4] 18193.00-18194.00 sec  1.78 MBytes  14.9 Mbits/sec    0    124 KBytes       
[  4] 18194.00-18195.00 sec  2.02 MBytes  16.9 Mbits/sec    3   38.2 KBytes       
[  4] 18195.00-18196.00 sec  2.14 MBytes  17.9 Mbits/sec    2   66.5 KBytes       
[  4] 18196.00-18197.00 sec  2.26 MBytes  18.9 Mbits/sec    0   89.1 KBytes       
[  4] 18197.00-18198.00 sec  1.84 MBytes  15.4 Mbits/sec    1    102 KBytes       
[  4] 18198.00-18199.00 sec  2.26 MBytes  18.9 Mbits/sec    0    117 KBytes       
[  4] 18199.00-18200.00 sec  2.49 MBytes  20.9 Mbits/sec    8   99.0 KBytes       
[  4] 18200.00-18201.00 sec  2.32 MBytes  19.4 Mbits/sec   24   87.7 KBytes       
[  4] 18201.00-18202.00 sec  1.13 MBytes  9.46 Mbits/sec  131   8.48 KBytes       
[  4] 18202.00-18203.00 sec  1.01 MBytes  8.47 Mbits/sec   51   1.41 KBytes       
[  4] 18203.00-18204.00 sec  1.01 MBytes  8.47 Mbits/sec   62   4.24 KBytes       
[  4] 18204.00-18205.00 sec  1.72 MBytes  14.4 Mbits/sec    1   49.5 KBytes       
[  4] 18205.00-18206.00 sec  2.08 MBytes  17.4 Mbits/sec    5   46.7 KBytes       
[  4] 18206.00-18207.00 sec  1.66 MBytes  13.9 Mbits/sec    4   62.2 KBytes       
[  4] 18207.00-18208.00 sec  1.96 MBytes  16.4 Mbits/sec    3   56.6 KBytes       
[  4] 18208.00-18209.00 sec  1.90 MBytes  15.9 Mbits/sec    2   76.4 KBytes       
[  4] 18209.00-18210.00 sec  2.20 MBytes  18.4 Mbits/sec    7   66.5 KBytes       
[  4] 18210.00-18211.00 sec  2.32 MBytes  19.4 Mbits/sec    1   62.2 KBytes       
[  4] 18211.00-18212.00 sec  2.32 MBytes  19.4 Mbits/sec    4   41.0 KBytes       
[  4] 18212.00-18213.00 sec  2.14 MBytes  17.9 Mbits/sec    2   69.3 KBytes       
[  4] 18213.00-18214.00 sec  2.32 MBytes  19.4 Mbits/sec    4   58.0 KBytes       
[  4] 18214.00-18215.00 sec  2.26 MBytes  18.9 Mbits/sec    2   60.8 KBytes       
[  4] 18215.00-18216.00 sec  2.14 MBytes  17.9 Mbits/sec    2   79.2 KBytes       
[  4] 18216.00-18217.00 sec  2.38 MBytes  19.9 Mbits/sec   12   69.3 KBytes       
[  4] 18217.00-18218.00 sec  1.78 MBytes  14.9 Mbits/sec    4   60.8 KBytes       
[  4] 18218.00-18219.00 sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  4] 18219.00-18220.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 18220.00-18221.00 sec  1.48 MBytes  12.4 Mbits/sec    0    140 KBytes       
[  4] 18221.00-18222.00 sec  2.26 MBytes  18.9 Mbits/sec    3    134 KBytes       
[  4] 18222.00-18223.00 sec  2.32 MBytes  19.4 Mbits/sec    5   94.7 KBytes       
[  4] 18223.00-18224.00 sec  2.26 MBytes  18.9 Mbits/sec    3   72.1 KBytes       
[  4] 18224.00-18225.00 sec  2.32 MBytes  19.4 Mbits/sec    1   91.9 KBytes       
[  4] 18225.00-18226.00 sec  2.02 MBytes  16.9 Mbits/sec    1   82.0 KBytes       
[  4] 18226.00-18227.00 sec  2.14 MBytes  17.9 Mbits/sec    8   76.4 KBytes       
[  4] 18227.00-18228.00 sec  2.38 MBytes  19.9 Mbits/sec    1   97.6 KBytes       
[  4] 18228.00-18229.00 sec  1.96 MBytes  16.4 Mbits/sec    7   76.4 KBytes       
[  4] 18229.00-18230.00 sec  1.84 MBytes  15.4 Mbits/sec    6   70.7 KBytes       
[  4] 18230.00-18231.00 sec  1.78 MBytes  14.9 Mbits/sec    0   87.7 KBytes       
[  4] 18231.00-18232.00 sec  1.66 MBytes  13.9 Mbits/sec    0    100 KBytes       
[  4] 18232.00-18233.00 sec  1.90 MBytes  15.9 Mbits/sec    2    113 KBytes       
[  4] 18233.00-18234.00 sec  1.54 MBytes  13.0 Mbits/sec    6   79.2 KBytes       
[  4] 18234.00-18235.00 sec  1.72 MBytes  14.4 Mbits/sec    2   70.7 KBytes       
[  4] 18235.00-18236.00 sec  1.90 MBytes  15.9 Mbits/sec    1   86.3 KBytes       
[  4] 18236.00-18237.00 sec  1.66 MBytes  13.9 Mbits/sec    0    100 KBytes       
[  4] 18237.00-18238.00 sec  2.02 MBytes  16.9 Mbits/sec    2    112 KBytes       
[  4] 18238.00-18239.00 sec  2.32 MBytes  19.4 Mbits/sec    9   87.7 KBytes       
[  4] 18239.00-18240.00 sec  2.38 MBytes  19.9 Mbits/sec    4   76.4 KBytes       
[  4] 18240.00-18241.00 sec  2.08 MBytes  17.4 Mbits/sec    2   74.9 KBytes       
[  4] 18241.00-18242.00 sec  2.20 MBytes  18.4 Mbits/sec    4   70.7 KBytes       
[  4] 18242.00-18243.00 sec  2.20 MBytes  18.4 Mbits/sec    1   90.5 KBytes       
[  4] 18243.00-18244.00 sec  2.32 MBytes  19.4 Mbits/sec    8   65.0 KBytes       
[  4] 18244.00-18245.00 sec  2.26 MBytes  18.9 Mbits/sec    1   74.9 KBytes       
[  4] 18245.00-18246.00 sec  2.26 MBytes  18.9 Mbits/sec    1   89.1 KBytes       
[  4] 18246.00-18247.00 sec  2.49 MBytes  20.9 Mbits/sec    0    107 KBytes       
[  4] 18247.00-18248.00 sec  1.96 MBytes  16.4 Mbits/sec   13   93.3 KBytes       
[  4] 18248.00-18249.00 sec  2.20 MBytes  18.4 Mbits/sec    6   82.0 KBytes       
[  4] 18249.00-18250.00 sec  2.08 MBytes  17.4 Mbits/sec    0   99.0 KBytes       
[  4] 18250.00-18251.00 sec  2.43 MBytes  20.4 Mbits/sec   10   89.1 KBytes       
[  4] 18251.00-18252.00 sec  1.78 MBytes  14.9 Mbits/sec   13   74.9 KBytes       
[  4] 18252.00-18253.00 sec  2.08 MBytes  17.4 Mbits/sec    1   65.0 KBytes       
[  4] 18253.00-18254.00 sec  2.20 MBytes  18.4 Mbits/sec    1   60.8 KBytes       
[  4] 18254.00-18255.00 sec  2.38 MBytes  19.9 Mbits/sec    0   86.3 KBytes       
[  4] 18255.00-18256.00 sec  2.02 MBytes  16.9 Mbits/sec    7   76.4 KBytes       
[  4] 18256.00-18257.00 sec  2.02 MBytes  16.9 Mbits/sec   13   66.5 KBytes       
[  4] 18257.00-18258.00 sec  2.08 MBytes  17.4 Mbits/sec    0   84.8 KBytes       
[  4] 18258.00-18259.00 sec  1.96 MBytes  16.4 Mbits/sec    0    100 KBytes       
[  4] 18259.00-18260.00 sec  1.96 MBytes  16.4 Mbits/sec    0    115 KBytes       
[  4] 18260.00-18261.00 sec  2.20 MBytes  18.4 Mbits/sec    5   99.0 KBytes       
[  4] 18261.00-18262.00 sec  1.96 MBytes  16.4 Mbits/sec    2   77.8 KBytes       
[  4] 18262.00-18263.00 sec  2.20 MBytes  18.4 Mbits/sec    0   80.6 KBytes       
[  4] 18263.00-18264.00 sec  2.26 MBytes  18.9 Mbits/sec    0   99.0 KBytes       
[  4] 18264.00-18265.00 sec  1.96 MBytes  16.4 Mbits/sec   20   60.8 KBytes       
[  4] 18265.00-18266.00 sec  2.26 MBytes  18.9 Mbits/sec    0   84.8 KBytes       
[  4] 18266.00-18267.00 sec  2.08 MBytes  17.4 Mbits/sec   11   62.2 KBytes       
[  4] 18267.00-18268.00 sec  2.26 MBytes  18.9 Mbits/sec    1   83.4 KBytes       
[  4] 18268.00-18269.00 sec  1.84 MBytes  15.4 Mbits/sec    1   99.0 KBytes       
[  4] 18269.00-18270.00 sec  2.20 MBytes  18.4 Mbits/sec    0    115 KBytes       
[  4] 18270.00-18271.00 sec  2.43 MBytes  20.4 Mbits/sec    0    130 KBytes       
[  4] 18271.00-18272.00 sec  2.43 MBytes  20.4 Mbits/sec    3   97.6 KBytes       
[  4] 18272.00-18273.00 sec  2.26 MBytes  18.9 Mbits/sec    2   86.3 KBytes       
[  4] 18273.00-18274.00 sec  2.20 MBytes  18.4 Mbits/sec    1   77.8 KBytes       
[  4] 18274.00-18275.00 sec  2.26 MBytes  18.9 Mbits/sec    3   73.5 KBytes       
[  4] 18275.00-18276.00 sec  2.20 MBytes  18.4 Mbits/sec    0   94.7 KBytes       
[  4] 18276.00-18277.00 sec  2.20 MBytes  18.4 Mbits/sec    0    112 KBytes       
[  4] 18277.00-18278.00 sec  2.38 MBytes  19.9 Mbits/sec    1    126 KBytes       
[  4] 18278.00-18279.00 sec  2.26 MBytes  18.9 Mbits/sec    3   99.0 KBytes       
[  4] 18279.00-18280.00 sec  2.14 MBytes  17.9 Mbits/sec    9   82.0 KBytes       
[  4] 18280.00-18281.00 sec  2.26 MBytes  18.9 Mbits/sec    3   76.4 KBytes       
[  4] 18281.00-18282.00 sec  2.02 MBytes  16.9 Mbits/sec    0   94.7 KBytes       
[  4] 18282.00-18283.00 sec  2.20 MBytes  18.4 Mbits/sec    0    110 KBytes       
[  4] 18283.00-18284.00 sec  2.32 MBytes  19.4 Mbits/sec    9   84.8 KBytes       
[  4] 18284.00-18285.00 sec  2.49 MBytes  20.9 Mbits/sec    0    110 KBytes       
[  4] 18285.00-18286.00 sec  1.60 MBytes  13.5 Mbits/sec    9   86.3 KBytes       
[  4] 18286.00-18287.00 sec  2.26 MBytes  18.9 Mbits/sec    0    105 KBytes       
[  4] 18287.00-18288.00 sec  2.32 MBytes  19.4 Mbits/sec   14   87.7 KBytes       
